analysis_donor,APC-like,B cells,Endothelial cells,Epithelial cells,Fibroblasts,Mast cells,Myeloid,Neuronal cells,T cells
C51ctr,0.011315185306657921,0.01574286651361102,0.09954083306001968,0.35306657920629714,0.13660216464414562,0.025090193506067563,0.09216136438176452,0.005247622171203673,0.26123319121023286
C52ctr,0.007533791269665411,0.0017726567693330379,0.070019942388655,0.6549966762685575,0.09572346554398405,0.005982716596499003,0.11345003323731442,0.010635940615998228,0.039884777309993354
C53ctr,0.011516853932584269,0.16067415730337078,0.046769662921348314,0.2606741573033708,0.1396067415730337,0.009831460674157303,0.17036516853932585,0.011516853932584269,0.18904494382022471
C54ctr,0.01894112277498859,0.010269283432222729,0.037197626654495664,0.4358740301232314,0.16522136010953903,0.025559105431309903,0.12984938384299408,0.006617982656321315,0.1704701049748973
C55ctr,0.0177660510114336,0.07651715039577836,0.058751099384344765,0.4075637642919965,0.16939313984168866,0.008619173262972735,0.1569041336851363,0.012664907651715039,0.09182058047493404
C56ctr,0.008557457212713936,0.05574572127139364,0.01295843520782396,0.5268948655256723,0.15256723716381418,0.005134474327628362,0.12665036674816627,0.0012224938875305623,0.11026894865525673
C57ctr,0.004802672791814575,0.005846732094382961,0.05679682605972019,0.5901023178116517,0.14950929212779285,0.028607224890373772,0.09835038630194196,0.013155147212361662,0.052829400709960325
L01cov,0.01241830065359477,0.02516339869281046,0.0673202614379085,0.34215686274509804,0.180718954248366,0.006209150326797385,0.19738562091503267,0.026470588235294117,0.14215686274509803
L03cov,0.003952569169960474,0.09545454545454546,0.03241106719367589,0.09505928853754941,0.17984189723320157,0.015217391304347827,0.4088932806324111,0.02707509881422925,0.14209486166007906
L04cov,0.014870794734275963,0.174183325207216,0.018527547537786446,0.04473427596294491,0.14822038030229157,0.014383227693807898,0.363481228668942,0.015480253534861044,0.20611896635787422
L05cov,0.002621231979030144,0.0625819134993447,0.06684141546526867,0.04947575360419397,0.21166448230668414,0.00655307994757536,0.5170380078636959,0.015399737876802096,0.06782437745740498
L06cov,0.0027697177525718808,0.02914798206278027,0.04827222368768135,0.24373516222632552,0.20891585333685045,0.008572935900817726,0.3518860458981799,0.02505935109469797,0.08164072804009496
L07cov,0.005321245565628695,0.13046905794245173,0.008080409932991722,0.14938904217579818,0.12278281434765471,0.011430823807646828,0.18328734726054394,0.019905400078833266,0.36933385888845094
